group_name,original_symbol,gene_symbol,ensembl_id,aliases,species
fusion.genes,TNFRSF12A,TNFRSF12A,ENSG00000006327,TNFRSF12A,human
fusion.genes,PAX7,PAX7,ENSG00000009709,PAX7,human
fusion.genes,CD9,CD9,ENSG00000010278,CD9,human
fusion.genes,HGF,HGF,ENSG00000019991,HGF,human
fusion.genes,TRIO,TRIO,ENSG00000038382,TRIO,human
fusion.genes,ELMO2,ELMO2,ENSG00000062598,ELMO2,human
fusion.genes,RHOA,RHOA,ENSG00000067560,RHOA,human
fusion.genes,ATP11A,ATP11A,ENSG00000068650,ATP11A,human
fusion.genes,CDC42,CDC42,ENSG00000070831,CDC42,human
fusion.genes,DNM2,DNM2,ENSG00000079805,DNM2,human
fusion.genes,MEF2C,MEF2C,ENSG00000081189,MEF2C,human
fusion.genes,MYH7,MYH7,ENSG00000092054,MYH7,human
fusion.genes,TGFB2,TGFB2,ENSG00000092969,TGFB2,human
fusion.genes,CRKL,CRKL,ENSG00000099942,CRKL,human
fusion.genes,XBP1,XBP1,ENSG00000100219,XBP1,human
fusion.genes,NFATC2,NFATC2,ENSG00000101096,NFATC2,human
fusion.genes,SMAD7,SMAD7,ENSG00000101665,SMAD7,human
fusion.genes,PIEZO1,PIEZO1,ENSG00000103335,PIEZO1,human
fusion.genes,CKM,CKM,ENSG00000104879,CKM,human
fusion.genes,MET,MET protooncogene,ENSG00000105976,"HGFR, MET",Human
fusion.genes,"N-WASP, WASL/NWASP",WASL,ENSG00000106299,N-WASP,human
fusion.genes,TGFBR1,TGFBR1,ENSG00000106799,TGFBR1,human
fusion.genes,MYH1,MYH1,ENSG00000109061,MYH1,human
fusion.genes,MYH3,MYH3,ENSG00000109063,MYH3,human
fusion.genes,PANNEXIN1,Pannexin1,ENSG00000110218,"PNX1, PX1",Human
fusion.genes,MYF6,MYF6,ENSG00000111046,MYF6,human
fusion.genes,MYF5,MYF5,ENSG00000111049,MYF5,human
fusion.genes,SRF,SRF,ENSG00000112658,SRF,human
fusion.genes,IL-4,IL4,ENSG00000113520,IL-4,human
fusion.genes,TNNC1,TNNC1,ENSG00000114854,TNNC1,human
fusion.genes,ACTR3,ACTR3,ENSG00000115091,ACTR3,human
fusion.genes,TANC1,TANC1,ENSG00000115183,TANC1,human
fusion.genes,INTEGRIN,Integrin subunit,ENSG00000115232,"CD49d, VLA4",Human
fusion.genes,WIP,WIPF1,ENSG00000115935,WIP,human
fusion.genes,TGFB3,TGFB3,ENSG00000119699,TGFB3,human
fusion.genes,CXCR4,CXCR4,ENSG00000121966,CXCR4,human
fusion.genes,"MYOG, MYOGENIN",MYOG,ENSG00000122180,MYOG,human
fusion.genes,APOBEC2,APOBEC2,ENSG00000124701,APOBEC2,human
fusion.genes,MYH2,MYH2,ENSG00000125414,MYH2,human
fusion.genes,"MYOD, MYOD1",MYOD1,ENSG00000129152,MYOD1,human
fusion.genes,"CDH15, CDH15/MCADH, MCADHERIN",CDH15,ENSG00000129910,CDH15,human
fusion.genes,TNNT3,TNNT3,ENSG00000130595,TNNT3,human
fusion.genes,TNNI2,TNNI2,ENSG00000130598,TNNI2,human
fusion.genes,MYH8,MYH8,ENSG00000133020,MYH8,human
