release,release_date,filename,url,md5_hash
DepMap Public 25Q3,2025-09-25,ScreenSequenceMap.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/ScreenSequenceMap.csv?response-content-disposition=attachment%3B+filename%3D%22ScreenSequenceMap.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=VWYYSB3XNbbHGdeTsy5hdVekUFYWIbBQ7qVi2%252B8SScO49fIuzSbkutbpUfSoLTgYqjW4YhN8iIz4lqUwuJ4LkSNCDFJJNuNQbvujOGJZIyaqTY%252Fka8FLLhU0xPIoczA%252FwtpZiMMlBdRtSgEDwP1IJ9CIcBC%252F6a9aDnJ9hyPufUeI1AH9ncH%252Fp9DKFEnu9wTqNmbpXzS1VHTIBd7pqwPvOP%252BRnm4AaZwNMy1SIbomH9gIDFJ%252F0k4xWQUmTaCckJIQnVi5ZhhDs40GorvKegI5f%252BK9uSBx77XBjuiv%252BgNoMHGKLw6b9bn%252F7ZYgjmo6uEbyepy6ZNLooiy0R49mhgNYCg%3D%3D&userProject=broad-achilles,89d80c3c894672e80bdb8eb165c298dd
DepMap Public 25Q3,2025-09-25,README.txt,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/public-25q3-b56c.78/README.txt.txt?response-content-disposition=attachment%3B+filename%3D%22README.txt%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=EaRxTi6vPdpiNymZEn6JLq88GOMzn%252BahglY3Q1RD%252BoUKrTHPMF9eGoaIuDDtJ1hDaiprc%252BfTrP%252FHNMJhKZmHof3gETP1Une3WCWWzhj8ycA17rpZwa40%252By4Wos%252BmOceMSAN7huPUcSfFWoNlQGN3xQrOtXmMB4yeaZ%252FvS%252FNbB02Xfui9qXXGmGcZidloz0%252BVBI6DNfysZfO5GGo4lKVhS9v%252BrD66yElWug2%252FcQ6MlnZVidFqTnUabxts0J9UML3LUfRWt%252BSG2A1Rk%252B%252BJiflPLU%252BWv1XcLk8diS1zYh8CO8VI0d86kQ6%252BXJMwPXM2Yq5GoHvdt9gG%252Bh4xd2SG3VOqow%3D%3D&userProject=broad-achilles,cb60b69f708e3afe7bf82f32c0183417
DepMap Public 25Q3,2025-09-25,SubtypeMatrix.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/public-25q3-b56c.77/SubtypeMatrix.csv?response-content-disposition=attachment%3B+filename%3D%22SubtypeMatrix.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=DKJ1a7S9BlGZWjZPQR7Vdg%252FwW9cYoGBf0%252FWTFRV5spbw9t2wk%252FWO%252BKyI%252FEw2hoxHa%252Fqy23zsPykwdGEabevldb2zPp8kt8Rg3ZscMAloXz6sQpTNYAu4n5h3ctbRoEe1vemk7uX0MUzkxk6NXLDzC%252FREqzFiSNuhzqnBZaPfXyPS5vVyaFh2Oahrrk2DFqVf0Der6EpisA2wWELZ9ba6A8iNp1EilVzQDMEW3mbxSGPTR%252BffOKR7ZvhaJCbNVjK4HUv5w3pSBqeeRZdkgEhKMbWHdHEWIV6tboO5VQjXGgVo%252FAL%252FzHY3IaHFgb5pWQuralFDxDl%252BK%252B5u1%252B3HdcK4bQ%3D%3D&userProject=broad-achilles,f8559717a257ed3d69559e133ccb0397
DepMap Public 25Q3,2025-09-25,SubtypeTree.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/public-25q3-b56c.76/SubtypeTree.csv?response-content-disposition=attachment%3B+filename%3D%22SubtypeTree.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=LfwdPWUJjMvIbeFknMGw1JgJiBxE9pbkONgwp5c%252FAGMulBLNjuVE15zRFDwPzfjxZa7OTu1IlPuxBmp2YYSzjD6wbF0FrgMpejf2iHTv%252FLWSdX%252BPJiRrjbZE%252F0ftesGr5RcSy6ii%252FBW1kF8mn7TNpVgV69G9F%252F%252Fh48Yfu6aPP5yCFK8xj0o2UA5VlIMsJtAcNC5HIm8l4sI7sZdhWfrd2xgAMWO6JzMiA4tji2hD6rs91n2jSATTKUILB%252Fxwq6btefg5AApWz7UXJ8gZfoSgJCSFdXAKkLim%252Bw%252FgGCMhLlWYtGFgx4odtqv%252BQTAVmxajI42Hdl3tugj5ZxDrIExR7A%3D%3D&userProject=broad-achilles,f0cf2ed6630fc0f4ad27a1a83c6332a4
DepMap Public 25Q3,2025-09-25,ScreenGeneEffect.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/ScreenGeneEffect.csv?response-content-disposition=attachment%3B+filename%3D%22ScreenGeneEffect.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=bpQiR7MQRTWgqkZ2uldjy9IaY0Z7PZM4i4MJUv3JHCixWdOmSUPfN0gy7SmbgmuV%252BXZS7cwOFfClBzrWUcqSPOSfoHpR8BxJA4PEyfHBGXLbDNaChiz41X6Shuu4PCA4yZjaz0lVGsvaAO2NGZ28jykbFvr7HOiOrS9LkjFmGVl4A1FlfedBTpYpJqSzsqHmBtLMir5wvNPVGti5roHPVmpLYF%252FewZLY5xLfrfI%252BZUrGOWmiI%252FHL2zC5gyJCRUj6wHJV%252BtCYdNgnaNCa%252BBNIrmyEoiYBcxjC3F0HDf4CsG3OExuCYuvOb5V0ozP8KyAxIWHPHOAo9KTttjUNA2jCGg%3D%3D&userProject=broad-achilles,2a8d9149bc2623cb0dd53361f2d7c5bc
DepMap Public 25Q3,2025-09-25,ScreenGeneEffectUncorrected.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/ScreenGeneEffectUncorrected.csv?response-content-disposition=attachment%3B+filename%3D%22ScreenGeneEffectUncorrected.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=ZNLDGG9Hocsgg1owvltIo%252BpMhIgtwuCaNCgq8%252F1EPvOaHcLOpJiOAJJyJnmf67%252F%252BVNH9VxC2QeUSq2jCWKo4pfuLXlcHQjj4wBt80OJM0fDV6mujfvU8g0XGSpxJmuTkKZK%252FwqPv%252BkZirMgLwHU5ODZcUbKnnsgdE6JhzZK90efyP6xZPA0ws95tWrc8rkmaSAlcbv1qpUkfF%252F%252B8KvFl5U2oC%252FsUFAN%252FATa7Xf3dSOSBYHnchieFeyeFL7wxqQGMej2Bg%252Bt6a7BdfazoQlWb1vW6mNHX9aQ3tmrzqF4%252FZlbmElQMuHu2w%252BfdabweBkfR6nLg9%252BEYx12Ob4%252F%252BUv5o%252Bw%3D%3D&userProject=broad-achilles,87b17cb29cdce052c79b322ee1cea01f
DepMap Public 25Q3,2025-09-25,ScreenNaiveGeneScore.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/ScreenNaiveGeneScore.csv?response-content-disposition=attachment%3B+filename%3D%22ScreenNaiveGeneScore.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=UkKtCipFR9W2%252BKPb6sJprorFdmpVysrl733ODltztAUaQMlagaxvEQ4EuJvQH39cWpZRqqdp8ksUfRz7zGQ7DPC2oji4Cq7z%252FkIR5%252FIgIYXvnFVctu1bnO44lMe2vyiLZ%252FX4RNBoqYViGiRCKeKsjHCbxgN%252B4Lm5LmcWDIoYVrINMhI%252BL4uiCQspr6fhoKnfLk%252FAXplfsXaIUgcSKTs1CNwP7VCNfmzNLnYLz07oJrAOKfRC7rXk5V5I%252BLXdw%252Bmw6zh994JjbwADygTjhRLUGeg8u%252BmbFAIx6HpHoimqo4m6N5O%252FZndDST1N4miWAcxw39kIMKt%252FHCniyfq0RMtgGQ%3D%3D&userProject=broad-achilles,ce0d3c5bb8ab0844107e70ce9b3f0d53
DepMap Public 25Q3,2025-09-25,ScreenGeneDependency.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/ScreenGeneDependency.csv?response-content-disposition=attachment%3B+filename%3D%22ScreenGeneDependency.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=ocsw9mUXthkgrDeMMQgNZSRmpqWoqrpR3uUJ0CsHhGKp5GqibIEmMdCrlkITAWYg2V7eAj1b%252FqS2SUSEjc9PDp1UGw2t89umCvQ1lC2i7%252BSobyKhG%252BRb4ExCZeVCLyS3tVVhM3rq%252F8Br80DUFiL%252B5WhUTUUsfJHADbKofIYjypVjvdTfjvp0TjWoG3boOHcz34P%252BZKfpGf%252FuQdy1mcyrJI3AEDAXJ6%252FLCd8ZHoihCtEghRvc8u7N8Tsgei75bNEAAaEJvSFItqXYY9vBLXJllE6dLz16%252FgxmycgeZ3D4Jc0SnoJz1SwN%252FyiyeN1AdS9gFeMdad%252F35TUcWAGqhM6jqA%3D%3D&userProject=broad-achilles,020168d1b7b5cfab98e70ccad01d27fd
DepMap Public 25Q3,2025-09-25,CRISPRScreenMap.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRScreenMap.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRScreenMap.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=GviLLG7ieYTVZrpwd8uhiCsuJMhACZRdKzdLqlGeGgoPqcTD7H0xrahO%252BzA1Cl%252Bnc4Zqy3CKVDjVho0%252Faw%252BfIwz4IZpcxdoSjUPKAw6LERRDQZ3Q%252B5FkyUhzexcY4mkKjB5H9V8jSzFDWUnxW4X1ezcvaK%252BT65%252F%252FkmxDzbs7tVmw6%252BJaIHZlJsCklyAuvLOAnN7CXi9HFy60LW%252BtIDYsI2ijdDG5AO0eDSwbpIaDQTf9V2TAISfwjNHrs9LCn5ctUJa6%252BXAKpXaR0ih8bw4qN1lXn5Qbhqxm5yIVZXRc5df6KCVLgGHM7MTtj664OriSDDSaGWU1%252FSbO%252Fv0lgS7Kug%3D%3D&userProject=broad-achilles,660871c09b697afa11b02f87a8996a35
DepMap Public 25Q3,2025-09-25,CRISPRGeneEffect.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/25q3-public-6202.1/CRISPRGeneEffect.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRGeneEffect.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1774438687&Signature=jqsHfzIsqQGWyqQk2p3%252BoJfcZsuaSDWicbGXM0kj%252FwEKFjKUH8q%252FttBg4EAqBjIPhCPZKdtTKtA%252Fw6Rdx1tFPRnc7K%252F0GNwK8vXl8btsmlQfs9v37O2fVghU7NzcmthDr7zl5ppdI3YgSlkngEUOEOeGSc7zgM43pXblEGB5leBjWjXGLR8AUkIWwxVgf9njpp6AwlB0%252F0indMC6DDjOhWl6dJ4Z3JKIWOhLnMZrp2qvpdzLM0GEE%252BbFFhuumVKUdeW0%252FGlgdgDnNtvwGz%252BycF0NBwbw2xU5Zy4%252FzyEsC7xnIYElNQzcLu%252F0VwHEzZlYtkyla0GzQmx5VCYP7ku4lQ%3D%3D&userProject=broad-achilles,ad2fcd4af2e8e2cf28a9fc49f0c822da
