cell_line	ccle_code	protein_10plex_id	protein_tmt_label	fraction_index	file_name	file_size_bytes	ftp_url
A-204	A204_SOFT_TISSUE	23	126	01	g00747_Prot_23_01.raw	597854992	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00747_Prot_23_01.raw
A-204	A204_SOFT_TISSUE	23	126	02	g00748_Prot_23_02.raw	543441148	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00748_Prot_23_02.raw
A-204	A204_SOFT_TISSUE	23	126	03	g00749_Prot_23_03.raw	564321888	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00749_Prot_23_03.raw
A-204	A204_SOFT_TISSUE	23	126	04	g00750_Prot_23_04.raw	553133708	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00750_Prot_23_04.raw
A-204	A204_SOFT_TISSUE	23	126	05	g00751_Prot_23_05.raw	557686144	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00751_Prot_23_05.raw
A-204	A204_SOFT_TISSUE	23	126	06	g00752_Prot_23_06.raw	634534032	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00752_Prot_23_06.raw
A-204	A204_SOFT_TISSUE	23	126	07	g00753_Prot_23_07.raw	633682388	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00753_Prot_23_07.raw
A-204	A204_SOFT_TISSUE	23	126	08	g00754_Prot_23_08.raw	664771884	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00754_Prot_23_08.raw
A-204	A204_SOFT_TISSUE	23	126	09	g00755_Prot_23_09.raw	632186416	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00755_Prot_23_09.raw
A-204	A204_SOFT_TISSUE	23	126	10	g00756_Prot_23_10.raw	633384674	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00756_Prot_23_10.raw
A-204	A204_SOFT_TISSUE	23	126	11	g00757_Prot_23_11.raw	610739074	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00757_Prot_23_11.raw
A-204	A204_SOFT_TISSUE	23	126	12	g00758_Prot_23_12.raw	661246430	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00758_Prot_23_12.raw
RD	RD_SOFT_TISSUE	25	129n	01	g00796_171103182003_Prot_25_01.raw	692578946	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00796_171103182003_Prot_25_01.raw
RD	RD_SOFT_TISSUE	25	129n	02	g00797_Prot_25_02.raw	638540302	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00797_Prot_25_02.raw
RD	RD_SOFT_TISSUE	25	129n	03	g00798_Prot_25_03.raw	667938550	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00798_Prot_25_03.raw
RD	RD_SOFT_TISSUE	25	129n	04	g00799_Prot_25_04.raw	665044118	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00799_Prot_25_04.raw
