accession	file_name	file_size_bytes	checksum	file_category	ftp_url	aspera_url
PXD030304	ProCan-DepMapSanger_DIANN_output.tsv	237709444633	b444cdbd50a44d61596fcfe212e7ab57300fc27b	SEARCH	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/ProCan-DepMapSanger_DIANN_output.tsv	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/ProCan-DepMapSanger_DIANN_output.tsv
PXD030304	191012.zip	44438918316	193926f462cdd0fcaed4b5a8a47ebf0d9adff258	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191012.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191012.zip
PXD030304	191020.zip	41292961393	f43518132be4f2608771f66130d4a01bc3469042	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191020.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191020.zip
PXD030304	191022.zip	41038007600	ea5dc0e69917d3dff36448e4fdaea5cedd764f5e	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191022.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191022.zip
PXD030304	190115.zip	39027752054	5543055cbb777f33ffad5b666763a3d26ef05326	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/190115.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/190115.zip
PXD030304	191026.zip	38312579392	f4365794f9c89a1c850ad0479fb00ce6c401f64c	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191026.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191026.zip
PXD030304	191024.zip	37555705655	3f05c821bab28b56d2915969f31910083df35a72	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191024.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191024.zip
PXD030304	181228.zip	36854862828	0b03894d1e10d32162a8701637e3b1f83c7cb718	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/181228.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/181228.zip
PXD030304	191029.zip	35177510626	c29976fe6df99fcaef0f0378fdae2f0c8af809a4	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191029.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191029.zip
PXD030304	190926.zip	34341651274	61e46b5781743028fbf8796a6182e65989f2a181	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/190926.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/190926.zip
PXD030304	191028.zip	32907726332	a723e4dfcda8d82b97b0cad75d6e1baf70d92ce1	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191028.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191028.zip
PXD030304	191128.zip	32805809375	0f10b183c3ec6d5eb895f003a4389cb8b8a7a232	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191128.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191128.zip
PXD030304	191021.zip	32694335124	abf6ac62bcefa6dabc1bbb993e4665cebadab67d	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191021.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191021.zip
PXD030304	181213.zip	31207389999	045203d9327a0428cd806d22fc563b9ea17cb9e5	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/181213.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/181213.zip
PXD030304	191011.zip	30678566804	3c553aa3fd96697766440d2d391195557819fdfe	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191011.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191011.zip
PXD030304	180914.zip	30605557245	4f405f55e36598f79e4b371dc841d8c8033ade7b	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/180914.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/180914.zip
PXD030304	191016.zip	29402491295	64fe81801c78e89f5c4bba996f30b841a3053f00	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191016.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191016.zip
PXD030304	191015.zip	28803292548	3516d0edb25692be1c1b426158d9ffa157c78707	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191015.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191015.zip
PXD030304	180921.zip	28541332420	70879b1a7832c44141ebe782926053ce9773cb42	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/180921.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/180921.zip
PXD030304	191019.zip	28407577285	de2e7a329e95106047f2f0c6c9918c87ec1e2e61	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191019.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191019.zip
PXD030304	190916.zip	28133613907	33291110e03b0bf5e09a05aeeaa9bf20b47cb162	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/190916.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/190916.zip
PXD030304	191130.zip	27892370429	085b108cf67ec1019bff35aae125d3cbf031aa3d	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191130.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191130.zip
PXD030304	190923.zip	27884213062	dac06a841e8392f6cc4d4ed731abbe79ead763fc	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/190923.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/190923.zip
PXD030304	190131.zip	27684321767	c998a8d45cc1c5016c920e61557d6ff3adedc6f1	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/190131.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/190131.zip
PXD030304	191203.zip	26836926409	3542ac3f7c5eb56374dfd2c4fd9b204236d775c8	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191203.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191203.zip
PXD030304	190510.zip	26633382064	be7734635133a0d5226fb7cae8af8d16a2d2ba61	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/190510.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/190510.zip
PXD030304	191126.zip	26016549915	b17e519fc5510a0b2c6801b34f3f8e89688f0212	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/191126.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/191126.zip
PXD030304	190204.zip	25749099570	95e79083d9121377eab2c3d1f08052dc831f0365	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/190204.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/190204.zip
PXD030304	190929.zip	25702549507	a6b435a9ae2d7e79d30b7c1ab1153fd71c152a46	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/190929.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/190929.zip
PXD030304	180907.zip	25576374591	430d119f07b0e5a1ac804d00be663c6286d30c5f	RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD030304/180907.zip	prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2022/07/PXD030304/180907.zip
